"scenario","kind","result","evidence"
"frozen_rehearsal_failure_after_3_table_replacements","rollback","PASS","frozen-rehearsal-scenarios.csv; exit=1; rollback=passed; formal unchanged"
"frozen_rehearsal_failure_after_20_tables_and_4_payloads","rollback","PASS","frozen-rehearsal-scenarios.csv; exit=1; rollback=passed; formal unchanged"
"frozen_rehearsal_positive_mirror","positive","PASS","frozen-rehearsal-summary.json; 477 writes; 9 guards; 106160 checks; 15 payloads"
"formal_default_deny","negative_gate","PASS","negative-default-deny.txt"
"formal_wrong_token","negative_gate","PASS","negative-wrong-token.txt"
"formal_wrong_signoff_sha","negative_gate","PASS","negative-wrong-signoff-sha.txt"
"formal_old_content_signoff","negative_gate","PASS","negative-old-content-signoff.txt"
"formal_wrong_baseline_aggregate","negative_gate","PASS","negative-wrong-baseline-aggregate.txt"
"formal_wrong_package_aggregate","negative_gate","PASS","negative-wrong-package-aggregate.txt"
"formal_incomplete_backup","negative_gate","PASS","negative-incomplete-backup.txt"
"formal_missing_marker","negative_gate","PASS","negative-missing-marker.txt"
"formal_wrong_marker","negative_gate","PASS","negative-wrong-marker.txt"
"formal_preexisting_payload_target","negative_gate","PASS","negative-preexisting-target.txt"
