"name","source_sha","copy_sha","source_bytes","copy_bytes","match"
"EXECUTION-ROLLBACK.md","0df9270b0fbf1692dbd58847741dfafd532665e7aae836bae4fa7d0ad670c43c","0df9270b0fbf1692dbd58847741dfafd532665e7aae836bae4fa7d0ad670c43c","4744","4744","true"
"expected-candidate-20-table-posthashes.csv","4188a42de1eafc383a592814330790ebb939d2613756781a3c941611e11857a7","4188a42de1eafc383a592814330790ebb939d2613756781a3c941611e11857a7","12048","12048","true"
"formal-csv-backup-candidates.csv","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","7449","7449","true"
"formal-hard-deny-test.json","fcf0154a6076bd0dfa6a72d446d5d529fcfdf74e91fb6541b5d3dec0ba3e9911","fcf0154a6076bd0dfa6a72d446d5d529fcfdf74e91fb6541b5d3dec0ba3e9911","291","291","true"
"formal-root-integrity.csv","55800858d01f2731cf7b8ace17504ca43293645281f875cac785251bdb2481d1","55800858d01f2731cf7b8ace17504ca43293645281f875cac785251bdb2481d1","6455","6455","true"
"formal-validator-current-final.txt","fe94c688ea109f91f3a3f395121783b50c5c1c858992062835538436a4fc223b","fe94c688ea109f91f3a3f395121783b50c5c1c858992062835538436a4fc223b","129","129","true"
"Invoke-AwsFormalTransaction.ps1","15664cdc8459ddb6bd34fb9fbecb7cfc00b114af3b4e16fdb6a5d16e9b1ee5a0","15664cdc8459ddb6bd34fb9fbecb7cfc00b114af3b4e16fdb6a5d16e9b1ee5a0","46973","46973","true"
"manifest.csv","23766423301f258187139cd451fc58b54f76bb3545dbea2833635e5f8651bc5a","23766423301f258187139cd451fc58b54f76bb3545dbea2833635e5f8651bc5a","2855","2855","true"
"new-file-targets.csv","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7","8081","8081","true"
"no-write-guards.csv","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","8538","8538","true"
"package-aggregate.txt","9268f8224b81d461f9611b985658b49fdf62d68cb3be767adc70db9ba14551b8","9268f8224b81d461f9611b985658b49fdf62d68cb3be767adc70db9ba14551b8","178","178","true"
"preflight-current-final.txt","117aabc9443152e2ae95958c8d00882da716e9faab27e91f5d919b6fb136f84d","117aabc9443152e2ae95958c8d00882da716e9faab27e91f5d919b6fb136f84d","455","455","true"
"preflight-current.txt","117aabc9443152e2ae95958c8d00882da716e9faab27e91f5d919b6fb136f84d","117aabc9443152e2ae95958c8d00882da716e9faab27e91f5d919b6fb136f84d","455","455","true"
"progress-2026-08-13.md","447d4740ece101b44c520aaa0f8be21a3096261815c772b15d4b1f45bd2d105c","447d4740ece101b44c520aaa0f8be21a3096261815c772b15d4b1f45bd2d105c","1581","1581","true"
"README.md","661f6c673e34a9cdc4afa683419764613113a2501fd11c14c63d13950350deb9","661f6c673e34a9cdc4afa683419764613113a2501fd11c14c63d13950350deb9","3593","3593","true"
"rehearsal-scenarios.csv","20a46926106a603c4acbb0e19b79c166d787ef1ad22c4d9b1554dc39c4458a2d","20a46926106a603c4acbb0e19b79c166d787ef1ad22c4d9b1554dc39c4458a2d","227","227","true"
"rehearsal-summary.json","32d11eefc77d6c8136441e8c14650bef76f29014424cd75fbe6e5f8c3ac5d9fb","32d11eefc77d6c8136441e8c14650bef76f29014424cd75fbe6e5f8c3ac5d9fb","397","397","true"
"static-contract-checks.json","d765ebfa13d9639fc37dcc59f0d1045e27b9ff154ffdf51cfb1b06eed99b4c7c","d765ebfa13d9639fc37dcc59f0d1045e27b9ff154ffdf51cfb1b06eed99b4c7c","4455","4455","true"
"Test-AwsFormalTransactionPreflight.ps1","8efe68087758f9a405257d94bbc67bbaa9e0acdabce094bc7b2b7d345fbdebaa","8efe68087758f9a405257d94bbc67bbaa9e0acdabce094bc7b2b7d345fbdebaa","18144","18144","true"
"Test-AwsFormalTransactionRehearsal.ps1","88eeb37cf574c63aff3d15f9dd77beb306f3078b7750bcef2a12de869ff1eeb6","88eeb37cf574c63aff3d15f9dd77beb306f3078b7750bcef2a12de869ff1eeb6","9822","9822","true"
"transaction-review-signoff-template.csv","00368edf54228177f9c6821e8945ca1ad904465c09efe23d675c48020216cd32","00368edf54228177f9c6821e8945ca1ad904465c09efe23d675c48020216cd32","1238","1238","true"
"VALIDATION-RECORD.md","6b1043d3c2fffa465fe40cfb38bfbcec600993615096eb79113beffefaaa594f","6b1043d3c2fffa465fe40cfb38bfbcec600993615096eb79113beffefaaa594f","4047","4047","true"
