"table_path","sha256","bytes"
"数据/card-completeness.csv","bc0c35e1dd5cc166cbfd65ea0f1fe5525c5340005e1005ab059e85061976f6cc","66107"
"数据/components.csv","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","38736"
"数据/condition-sets.csv","9bb6717de7c6a038674d563164e40cf94dfe1f1d923fe787339299e77a057ac5","49926"
"数据/derived-inputs.csv","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","7537"
"数据/derived-metrics.csv","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","7218"
"数据/enums.csv","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","63887"
"数据/facts.csv","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","250537"
"数据/field-requirements.csv","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","273459"
"数据/fields.csv","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","25032"
"数据/links.csv","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","7430"
"数据/memory-levels.csv","5fb8e34f3d0a8be541310b1fd14bae4e73e36b3e7801544584edcf0eac36fbe1","10658"
"数据/object-relations.csv","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633"
"数据/objects.csv","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349"
"数据/precision-paths.csv","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","20005"
"数据/schema-columns.csv","4c756065e0fc3fba175b0abeb41699ec637224aa4e8a5c9e150ff60730ce9375","68873"
"数据/special-capabilities.csv","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","17292"
"数据/topologies.csv","3002be526aba90d9c646b1fc00d1e63e1c495713c8ee165ef02f11949915c8d8","1105"
"数据/vendors.csv","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156","588"
"最小参考资料库/conflict-groups.csv","370f536b11f893b56fcdccbcc26a3151536a579586ed9ae20b7e2926c4595054","4975"
"最小参考资料库/conflict-members.csv","2969fa88cac48a50d6ddd663d22abc7b4888997887efbbfabea28d42d9f98d2d","4849"
"最小参考资料库/fact-assertions.csv","be571472611c65a73ff526f77383631f0df61c70e0b3a57d2bfd6f65cbfb089e","311184"
"最小参考资料库/requirement-evidence.csv","8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50","23331"
"最小参考资料库/search-log.csv","8a15366bb59f960e318491b4f4ccb01887accbefbdf316a535fc07c7f30decca","104962"
"最小参考资料库/search-results.csv","1bcab32728aba2505307c993bd45c2974acfce3a2e10190301e4f68621cedc70","66221"
"最小参考资料库/selection-members.csv","b921192ac0cec96a5ebf1fd8c8d0ecc4951577804c2b1bea2976b1e4117bd620","36206"
"最小参考资料库/selection-runs.csv","1c0b49aff25115cb358ad1d6dab32ed9de3b0814fa11342beb9b435ff48f9ba2","2799"
"最小参考资料库/source-coverage.csv","68159e338aba9f2c63e159e27a822277e067290ff3f50da0a478cb9f5e8814ea","6946"
"最小参考资料库/source-endpoints.csv","652c53647108701eddaf2e1f998417570f852acce78f2b8a2714497baff13035","43774"
"最小参考资料库/source-families.csv","358869eac543ca7769129a0525834a366fb3abb5c3fba858b556bb414ed0b061","14595"
"最小参考资料库/sources.csv","eba3f8a3c4a49e526a42a2bb1b5db0cfbf3930edd211fb2158db3c6a8b6b6208","30791"
"最小参考资料库/source-screening.csv","104e8d4d06de4d26deec1066367434e494ee72e22eee3d1a49ffe0759da8c05b","30892"
"最小参考资料库/source-selected-roles.csv","aea2ecd4cd1fcf45f63817ca7d69e94434baa53ed9c184a16c4ad098bfafa5f5","18344"
