"signoff_row_id","target_path","exists","sha256","bytes"
"AWS-SIGN-0464","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-latest-2026-08-13.html","false","",""
"AWS-SIGN-0465","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-v2.31.0-2026-08-13.html","false","",""
"AWS-SIGN-0466","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A02-neuroncore-v1-v2.9.1-2026-08-13.html","false","",""
"AWS-SIGN-0467","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A03-trainium-v2.26.1-2026-08-13.html","false","",""
"AWS-SIGN-0468","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A04-inferentia2-v2.29.1-2026-08-13.html","false","",""
"AWS-SIGN-0469","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A05-trainium-inferentia2-nki-v2.29.1-2026-08-13.html","false","",""
"AWS-SIGN-0470","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A06-trainium3-v2.28.1-2026-08-13.html","false","",""
"AWS-SIGN-0471","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-latest-2026-08-13.html","false","",""
"AWS-SIGN-0472","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-v2.31.0-2026-08-13.html","false","",""
"AWS-SIGN-0473","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A08-trn3-ultraservers-2025-12-02-fetched-2026-08-13.html","false","",""
"AWS-SIGN-0474","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A10-neuroncore-v4-v2.30.0-2026-08-13.html","false","",""
"AWS-SIGN-0475","资料卡/AWS/封装/AWS_Inferentia1_芯片实现资料卡.md","false","",""
"AWS-SIGN-0476","资料卡/AWS/封装/AWS_Inferentia2_芯片实现资料卡.md","false","",""
"AWS-SIGN-0477","资料卡/AWS/封装/AWS_Trainium1_芯片实现资料卡.md","false","",""
"AWS-SIGN-0478","资料卡/AWS/封装/AWS_Trainium3_芯片实现资料卡.md","false","",""
