"selection_run_id","source_id","package_scope_status","reverse_removal_result","supported_fact_count","unique_fact_count","lost_fact_ids","decision","rationale","review_status"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A01","in_scope","fact_loss","5","5","FACT-M2W2-AWS-INF1-NCV1-COUNT|FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK|FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK|FACT-M2W2-AWS-INF1-DRAM-CAPACITY|FACT-M2W2-AWS-INF1-DRAM-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A02","in_scope","fact_loss","3","3","FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16|FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE|FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A03","in_scope","fact_loss","7","5","FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK|FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK|FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK|FACT-M2W2-AWS-TRN1-HBM-BW-GIB|FACT-M2W2-AWS-TRN1-DMA-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A04","in_scope","fact_loss","7","5","FACT-M2W2-AWS-INF2-CHIP-INT8-PEAK|FACT-M2W2-AWS-INF2-CHIP-MIXED-PEAK|FACT-M2W2-AWS-INF2-CHIP-FP32-PEAK|FACT-M2W2-AWS-INF2-HBM-BW-GIB|FACT-M2W2-AWS-INF2-DMA-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A05","in_scope","fact_loss","12","8","FACT-M2W2-AWS-TRN1-HBM-BW-GB|FACT-M2W2-AWS-TRN1-DMA-COUNT|FACT-M2W2-AWS-TRN1-CC-COUNT|FACT-M2W2-AWS-TRN1-NEURONLINK-COUNT|FACT-M2W2-AWS-INF2-HBM-BW-GB|FACT-M2W2-AWS-INF2-DMA-COUNT|FACT-M2W2-AWS-INF2-CC-COUNT|FACT-M2W2-AWS-INF2-NEURONLINK-COUNT","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A06","in_scope","fact_loss","10","7","FACT-M2W2-AWS-TRN3-CHIP-MX-PEAK|FACT-M2W2-AWS-TRN3-CHIP-MIXED-PEAK|FACT-M2W2-AWS-TRN3-CHIP-SPARSE-PEAK|FACT-M2W2-AWS-TRN3-CHIP-FP32-PEAK|FACT-M2W2-AWS-TRN3-DMA-BW|FACT-M2W2-AWS-TRN3-CC-COUNT-16|FACT-M2W2-AWS-TRN3-NEURONLINK-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A07","in_scope","fact_loss","13","8","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-CLOCK|FACT-M2W2-AWS-TRN3-SBUF-CAPACITY|FACT-M2W2-AWS-TRN3-PSUM-CAPACITY|FACT-M2W2-AWS-TRN3-HBM-BW-47|FACT-M2W2-AWS-TRN3-HBM-STACKS|FACT-M2W2-AWS-TRN3-DMA-COUNT|FACT-M2W2-AWS-TRN3-CC-COUNT-20|FACT-M2W2-AWS-TRN3-NEURONLINK-COUNT","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A08","in_scope","fact_loss","4","3","FACT-M2W2-AWS-TRN3-HBM-CAPACITY-GB|FACT-M2W2-AWS-TRN3-PROCESS|FACT-M2W2-AWS-TRN3-HBM-TYPE","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A09","out_of_scope","not_tested","0","0","","excluded","季度业绩公告只承担 Trainium3 GA/收入状态；本轮不抽取供货状态，也不支持 package 实现规格。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A10","in_scope","fact_loss","5","2","FACT-M2W2-AWS-TRN3-NCV4-VECTOR-FP32|FACT-M2W2-AWS-TRN3-NCV4-SCALAR-FP32","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
