"table_path","before_sha256","after_sha256","unchanged"
"数据/card-completeness.csv","1c170fe5cbbcebdf7c02311b0b5b1272dbe7a6487bb98f5c90db85e1af5c04de","1c170fe5cbbcebdf7c02311b0b5b1272dbe7a6487bb98f5c90db85e1af5c04de","true"
"数据/components.csv","6c7aea0e3dcafbe7247e61b26425128e0c6e1209fb6ca5c7f974237cedec73da","6c7aea0e3dcafbe7247e61b26425128e0c6e1209fb6ca5c7f974237cedec73da","true"
"数据/condition-sets.csv","d51884548a0b20cd39c2d2e134c5a78b26a9328d9aa1b188d1435f0d0f5bdac1","d51884548a0b20cd39c2d2e134c5a78b26a9328d9aa1b188d1435f0d0f5bdac1","true"
"数据/derived-inputs.csv","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","true"
"数据/derived-metrics.csv","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","true"
"数据/enums.csv","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","true"
"数据/facts.csv","634aba9d93229219ddd4da9952612e97841c1937c9d032b45fa4c3ff42f3dea2","634aba9d93229219ddd4da9952612e97841c1937c9d032b45fa4c3ff42f3dea2","true"
"数据/field-requirements.csv","429dd029364820a8f5e428f62edaf4c80ae692230af13a7b7090eb1b32a4bc19","429dd029364820a8f5e428f62edaf4c80ae692230af13a7b7090eb1b32a4bc19","true"
"数据/fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","true"
"数据/links.csv","a4475914fd51e4ff3f2fddf90048b5112f8f019e649d35090d4c74ece988dd61","a4475914fd51e4ff3f2fddf90048b5112f8f019e649d35090d4c74ece988dd61","true"
"数据/memory-levels.csv","e94b1dd30d3030dc62f7a054b4e2932566a59ed2eae5dee145b8fe6e9d220c3a","e94b1dd30d3030dc62f7a054b4e2932566a59ed2eae5dee145b8fe6e9d220c3a","true"
"数据/object-relations.csv","6102a347f1a7575bbb9db23701f93de85d0dfd1cc32d729a0a2f7e2ff257b116","6102a347f1a7575bbb9db23701f93de85d0dfd1cc32d729a0a2f7e2ff257b116","true"
"数据/objects.csv","13a001e67f8ba83d5a236a75f51aab5454e690174bf421a3e663786180334bec","13a001e67f8ba83d5a236a75f51aab5454e690174bf421a3e663786180334bec","true"
"数据/precision-paths.csv","c95f39dedad8332bcc2d4eac031f0b6eb76301af7c72d4ede144724f783cdd2c","c95f39dedad8332bcc2d4eac031f0b6eb76301af7c72d4ede144724f783cdd2c","true"
"数据/schema-columns.csv","85129e57f6ab927cac43ca820d7b8df6558516f956bb1525ffca615f66654a6b","85129e57f6ab927cac43ca820d7b8df6558516f956bb1525ffca615f66654a6b","true"
"数据/special-capabilities.csv","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","true"
"数据/topologies.csv","2e6ff67fc379a7c57d73098dfb953379ae24647a790567ff1d859e825d2042b9","2e6ff67fc379a7c57d73098dfb953379ae24647a790567ff1d859e825d2042b9","true"
"数据/vendors.csv","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156","true"
