"signoff_row_id","authorization_scope","action_type","target_path","pk_column","pk_value","column_name","old_value","new_value","source_path","formal_target_premerge_sha256","expected_target_postmerge_sha256","formal_target_premerge_bytes","expected_target_postmerge_bytes","formal_baseline_aggregate_sha256","remediation_package_manifest_sha256","formal_migration_manifest_sha256","reviewer","review_date","verdict","notes"
"FCR-SIGN-0001","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-BENCH-LATENCY","allowed_requirement_target_kinds","","object","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0002","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-BENCH-POWER","allowed_requirement_target_kinds","","object","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0003","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-BENCH-THROUGHPUT","allowed_requirement_target_kinds","","object","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0004","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-CAP-IMPLEMENTATION-DETAIL","allowed_requirement_target_kinds","","object;capability","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0005","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-CAP-IMPLEMENTATION-LEVEL","allowed_requirement_target_kinds","","capability","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0006","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-CAP-LIMITATION","allowed_requirement_target_kinds","","capability","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0007","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-CAP-THROUGHPUT","allowed_requirement_target_kinds","","capability","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0008","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-COMP-ARRAY-SHAPE","allowed_requirement_target_kinds","","object;component","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0009","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-COMP-CONCURRENCY","allowed_requirement_target_kinds","","component","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0010","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-COMP-COUNT-RULE","allowed_requirement_target_kinds","","precision_path","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0011","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-COMP-EXECUTION","allowed_requirement_target_kinds","","object;component","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
"FCR-SIGN-0012","exact_cell_change","add_cell","数据/fields.csv","field_id","FIELD-COMP-INSTRUCTION-TILE","allowed_requirement_target_kinds","","object;precision_path","审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","23396","25032","97ebb17a2518e3a43b18a382dcfc879c1f5e2b08118a6149c8fa984e65017453","16d721dde2c39154d40d6c3cef6f6525ac8fd24ef5e3c7ad29c2daef94fa0239","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25","field_contract_remediation_review","2026-08-13","accept","只授权本行所列精确变更；未列出的文件、行和单元格不得修改。"
