"endpoint_id","source_id","endpoint_type","url","local_path","sha256","page_count","mime_type","access_date","http_status","snapshot_date","is_preferred_endpoint","accessibility_status","review_status","notes"
"END-AWS-TRN2-S01-HTML","SRC-AWS-TRN2-S01","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/trainium2.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S02-HTML","SRC-AWS-TRN2-S02","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/guides/architecture/trainium2_arch.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S03-HTML","SRC-AWS-TRN2-S03","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/neuron-core-v3.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S04-HTML","SRC-AWS-TRN2-S04","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/api/generated/nki.isa.nc_matmul.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S05-HTML","SRC-AWS-TRN2-S05","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-features/logical-neuroncore-config.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S06-HTML","SRC-AWS-TRN2-S06","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/trn2-arch.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S07-HTML","SRC-AWS-TRN2-S07","html_page","https://aws.amazon.com/ec2/instance-types/trn2/","","","","text/html","2026-08-12","200","2026-08-12","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S08-HTML","SRC-AWS-TRN2-S08","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/api/nki.collectives.html","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S09-HTML","SRC-AWS-TRN2-S09","html_page","https://aws.amazon.com/about-aws/whats-new/2024/12/amazon-ec2-trn2-instances-available/","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S10-HTML","SRC-AWS-TRN2-S10","html_page","https://aws.amazon.com/blogs/aws/amazon-ec2-trn2-instances-and-trn2-ultraservers-for-aiml-training-and-inference-is-now-available/","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S11-HTML","SRC-AWS-TRN2-S11","html_page","https://press.aboutamazon.com/2023/11/aws-unveils-next-generation-aws-designed-chips","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S12-HTML","SRC-AWS-TRN2-S12","html_page","https://aws.amazon.com/about-aws/whats-new/2026/07/aws-announce-neuron-2-31-0/","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S13-HTML","SRC-AWS-TRN2-S13","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/library/api/rmsnorm-router-topk-tkg.html","","","","text/html","2026-08-12","200","2026-08-12","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S14-HTML","SRC-AWS-TRN2-S14","html_page","https://aws.amazon.com/about-aws/whats-new/2024/12/aws-neuron-trainium2-nxd-inference/","","","","text/html","2026-08-12","200","","false","accessible","draft","2026-08-12 总控复核访问成功；同一来源的本地 HTML 快照为首选复现入口。"
"END-AWS-TRN2-S15-HTML","SRC-AWS-TRN2-S15","html_page","https://docs.aws.amazon.com/ec2/latest/instancetypes/ac.html","","","","text/html","2026-08-12","200","","false","accessible","draft","总控通过 AWS 官方检索定位；该动态通用表仅作冲突与质量审计记录。"
"END-AWS-TRN2-S01-SNAPSHOT","SRC-AWS-TRN2-S01","web_snapshot","","最小参考资料库/快照/AWS/Trainium2/2026-08-12/S01_trainium2_architecture_v2.29.1.html","7d64744172d9510676906c3e098366e60ba9da9a6409f463d2ba4cc68e28dac2","","text/html","2026-08-12","","2026-08-12","true","accessible","draft","AWS 官方页面原始 HTML 快照；210889 bytes。"
"END-AWS-TRN2-S02-SNAPSHOT","SRC-AWS-TRN2-S02","web_snapshot","","最小参考资料库/快照/AWS/Trainium2/2026-08-12/S02_trainium2_nki_architecture_v2.29.1.html","1fad493985a349aea5e3b54cca1ef50d416e993bba218801d63935335831618b","","text/html","2026-08-12","","2026-08-12","true","accessible","draft","AWS 官方页面原始 HTML 快照；239656 bytes。"
"END-AWS-TRN2-S03-SNAPSHOT","SRC-AWS-TRN2-S03","web_snapshot","","最小参考资料库/快照/AWS/Trainium2/2026-08-12/S03_neuroncore_v3_architecture_v2.29.1.html","cf0e9b1d829493869b7dcc88c8cabc0c906926fc87eafbd926de176644c6e75a","","text/html","2026-08-12","","2026-08-12","true","accessible","draft","AWS 官方页面原始 HTML 快照；206982 bytes。"
"END-AWS-TRN2-S04-SNAPSHOT","SRC-AWS-TRN2-S04","web_snapshot","","最小参考资料库/快照/AWS/Trainium2/2026-08-12/S04_nki_isa_nc_matmul_v2.29.1.html","87f1a1951f012d53157827ea4bca3137b219438bfcbf3a4dc6a0ae3a07f2f271","","text/html","2026-08-12","","2026-08-12","true","accessible","draft","AWS 官方页面原始 HTML 快照；219629 bytes。"
