"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-AWS-TRN2-CHIP-FP8-DENSE-PUB","CFP-COND-AWS-TRN2-CHIP-FP8-DENSE-PUB","PP-AWS-TRN2-TENSOR-FP8","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron docs 2.29.1","","","","","per_object","","draft","S1 芯片聚合峰值条件；操作计数与详细频率未公开"
"COND-AWS-TRN2-CORE-FP8-DENSE-PUB","CFP-COND-AWS-TRN2-CORE-FP8-DENSE-PUB","PP-AWS-TRN2-TENSOR-FP8","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_component","","draft","S2 每 NCv3 峰值条件"
"COND-AWS-TRN2-CHIP-FP8-DENSE-DER8","CFP-COND-AWS-TRN2-CHIP-FP8-DENSE-DER8","PP-AWS-TRN2-TENSOR-FP8","dense","","matrix_multiply","not_specified","public_derived","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_object","","draft","8 个 NCv3 单核公开峰值的简单乘算候选"
"COND-AWS-TRN2-CHIP-BF16-DENSE-PUB","CFP-COND-AWS-TRN2-CHIP-BF16-DENSE-PUB","PP-AWS-TRN2-TENSOR-BF16","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron docs 2.29.1","","","","","per_object","","draft","S1 芯片聚合峰值条件；操作计数与详细频率未公开"
"COND-AWS-TRN2-CORE-BF16-DENSE-PUB","CFP-COND-AWS-TRN2-CORE-BF16-DENSE-PUB","PP-AWS-TRN2-TENSOR-BF16","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_component","","draft","S2 每 NCv3 峰值条件"
"COND-AWS-TRN2-CHIP-BF16-DENSE-DER8","CFP-COND-AWS-TRN2-CHIP-BF16-DENSE-DER8","PP-AWS-TRN2-TENSOR-BF16","dense","","matrix_multiply","not_specified","public_derived","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_object","","draft","8 个 NCv3 单核公开峰值的简单乘算候选"
"COND-AWS-TRN2-CHIP-FP16-DENSE-PUB","CFP-COND-AWS-TRN2-CHIP-FP16-DENSE-PUB","PP-AWS-TRN2-TENSOR-FP16","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron docs 2.29.1","","","","","per_object","","draft","S1 芯片聚合峰值条件；操作计数与详细频率未公开"
"COND-AWS-TRN2-CORE-FP16-DENSE-PUB","CFP-COND-AWS-TRN2-CORE-FP16-DENSE-PUB","PP-AWS-TRN2-TENSOR-FP16","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_component","","draft","S2 每 NCv3 峰值条件"
"COND-AWS-TRN2-CHIP-FP16-DENSE-DER8","CFP-COND-AWS-TRN2-CHIP-FP16-DENSE-DER8","PP-AWS-TRN2-TENSOR-FP16","dense","","matrix_multiply","not_specified","public_derived","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_object","","draft","8 个 NCv3 单核公开峰值的简单乘算候选"
"COND-AWS-TRN2-CHIP-TF32-DENSE-PUB","CFP-COND-AWS-TRN2-CHIP-TF32-DENSE-PUB","PP-AWS-TRN2-TENSOR-TF32","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron docs 2.29.1","","","","","per_object","","draft","S1 芯片聚合峰值条件；操作计数与详细频率未公开"
"COND-AWS-TRN2-CORE-TF32-DENSE-PUB","CFP-COND-AWS-TRN2-CORE-TF32-DENSE-PUB","PP-AWS-TRN2-TENSOR-TF32","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_component","","draft","S2 每 NCv3 峰值条件"
"COND-AWS-TRN2-CHIP-TF32-DENSE-DER8","CFP-COND-AWS-TRN2-CHIP-TF32-DENSE-DER8","PP-AWS-TRN2-TENSOR-TF32","dense","","matrix_multiply","not_specified","public_derived","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_object","","draft","8 个 NCv3 单核公开峰值的简单乘算候选"
"COND-AWS-TRN2-CHIP-FP32-DENSE-PUB","CFP-COND-AWS-TRN2-CHIP-FP32-DENSE-PUB","PP-AWS-TRN2-TENSOR-FP32","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron docs 2.29.1","","","","","per_object","","draft","S1 芯片聚合峰值条件；操作计数与详细频率未公开"
"COND-AWS-TRN2-CORE-FP32-DENSE-PUB","CFP-COND-AWS-TRN2-CORE-FP32-DENSE-PUB","PP-AWS-TRN2-TENSOR-FP32","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_component","","draft","S2 每 NCv3 峰值条件"
"COND-AWS-TRN2-CHIP-FP32-DENSE-DER8","CFP-COND-AWS-TRN2-CHIP-FP32-DENSE-DER8","PP-AWS-TRN2-TENSOR-FP32","dense","","matrix_multiply","not_specified","public_derived","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_object","","draft","8 个 NCv3 单核公开峰值的简单乘算候选"
"COND-AWS-TRN2-CHIP-FP8-SPARSE-PUB","CFP-COND-AWS-TRN2-CHIP-FP8-SPARSE-PUB","PP-AWS-TRN2-TENSOR-FP8","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron docs 2.29.1","","","","","per_object","","draft","S1 当前芯片结构化稀疏聚合峰值"
"COND-AWS-TRN2-CORE-FP8-SPARSE-PUB","CFP-COND-AWS-TRN2-CORE-FP8-SPARSE-PUB","PP-AWS-TRN2-TENSOR-FP8","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","2400000000","Hz","Neuron docs 2.29.1","","","","","per_component","","draft","S2 每 NCv3 结构化稀疏峰值"
