"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-AWS-TRN2-SPARSE-MATMUL","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-TENSOR","sparse_skip","Tensor Engine structured sparse matrix multiply","draft","M:N 模式由 Tensor Engine 支持"
"CAP-AWS-TRN2-TENSOR-TRANSPOSE","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-TENSOR","attention_data_move","Tensor Engine built-in transpose mode","draft","专用指令模式；不是独立 attention engine"
"CAP-AWS-TRN2-DMA-TRANSPOSE","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-MAIN-DMA","attention_data_move","DMA bit-accurate transpose","draft","HBM to SBUF 或 SBUF to SBUF 搬运转置"
"CAP-AWS-TRN2-VECTOR-REDUCTION","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-VECTOR","reduction","Vector Engine reduction and elementwise path","draft","通用向量计算路径"
"CAP-AWS-TRN2-SCALAR-NONLINEAR","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-SCALAR","other","Scalar Engine nonlinear functions","draft","GELU、sqrt 等一般路径"
"CAP-AWS-TRN2-GPSIMD-CUSTOM","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-GPSIMD","other","GPSIMD C/C++ custom operators","draft","可编程通用 SIMD 路径"
"CAP-AWS-TRN2-DGE-DESCRIPTOR","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-DGE","attention_data_move","Hardware DMA descriptor generation","draft","只服务 copy/transpose 描述符"
"CAP-AWS-TRN2-COLLECTIVE-HW","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-CC-CORE","collective_offload","CC-Core and NeuronLink collective communication","needs_resolution","物理模块数量存在冲突"
"CAP-AWS-TRN2-COLLECTIVE-NKI","OBJ-AWS-TRAINIUM2-ARCH","","all_to_all","NKI collective APIs","draft","API 覆盖 all-reduce、all-gather、reduce-scatter、all-to-all、all-to-all-v、permute"
"CAP-AWS-TRN2-TOPK-NKI","OBJ-AWS-TRAINIUM2-ARCH","","top_k","Experimental RMSNorm Router Top-K NKI kernel","draft","软件库内核，不表示专用物理模块"
"CAP-AWS-TRN2-MOE-NKI","OBJ-AWS-TRAINIUM2-ARCH","","moe_route","Experimental MoE NKI library kernels","draft","软件实现，未找到专用 MoE routing 硬件"
"CAP-AWS-TRN2-DMA-COMPRESS","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-MAIN-DMA","compression","Main DMA inline compression","draft","主 DMA 内联能力"
"CAP-AWS-TRN2-DMA-DECOMPRESS","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-MAIN-DMA","decompression","Main DMA inline decompression","draft","主 DMA 内联能力"
"CAP-AWS-TRN2-SORT-HW","OBJ-AWS-TRAINIUM2-ARCH","","sort","Trainium2 dedicated sort hardware query","draft","本轮未找到专用物理模块"
"CAP-AWS-TRN2-SAMPLING-HW","OBJ-AWS-TRAINIUM2-ARCH","","sampling","Trainium2 dedicated sampling hardware query","draft","本轮未找到专用物理模块"
