"table_path","pk_column","pk_value","batch_id","old_review_status","new_review_status","semantic_status_after","package_review","independent_signoff","reason"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-48XL-BF16-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-48XL-FP16-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-48XL-TF32-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-TRN2U-48XL-FP16-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-TRN2U-48XL-TF32-SPARSE","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/facts.csv","fact_id","FACT-AWS-TRN2-ULTRA64-EFA-12P8","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","resolution_state=provisional;evidence_state=single_source","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0111","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0144","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0145","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0146","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0156","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0157","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0158","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"数据/field-requirements.csv","requirement_id","REQ-AWS-TRN2-0159","M2-W2-TRN2-CORRECTION","needs_resolution","reviewed","requirement_status=value_available","pending","pending","S10 假历史冲突或 UltraServer EFA 伪冲突移除后，按仍存一手证据恢复行级复核状态；语义状态单独保留。"
"最小参考资料库/fact-assertions.csv","assertion_id","ASSERT-FACT-AWS-TRN2-3XL-CHIP-QTY-S07","M2-W2-TRN2-CORRECTION","new_row","reviewed","extraction_status=source_checked","pending","pending","S07 Product details 表对 trn2.3xlarge 芯片数的替换断言；accepted 事实要求至少一条 reviewed 断言，须由独立复核签字。"
