"field_id","domain","disposition","formal_record_ids","source_map_decisions","rationale"
"FIELD-BENCH-ENERGY-PER-TOKEN","benchmark","not_found","REQ-R1-GA100-BENCH-ENERGY","register_not_found_after_search_log","No qualified GA100 or A100 energy-per-token measurement was found, product or system energy cannot be divided down to the die."
"FIELD-BENCH-LATENCY","benchmark","conditional","coverage_only","accept_conditional_observation","Cycles may remain source-level or conditional evidence, they are not unconditional GA100 latency and cannot be converted to seconds."
"FIELD-BENCH-POWER","benchmark","not_found","REQ-R1-GA100-BENCH-POWER","register_not_found_after_search_log","The reviewed microbenchmarks do not report measured power, 250/300/400 W are card or module limits."
"FIELD-BENCH-THROUGHPUT","benchmark","conditional","coverage_only","accept_conditional_observation","Keep the observed trend and source-reported approximations under A100 conditions, do not rename them GA100 HBM bandwidth."
"FIELD-BENCH-TOKENS-PER-JOULE","benchmark","not_found","REQ-R1-GA100-BENCH-TPJ","register_not_found_after_search_log","No qualified token/J measurement was found."
"FIELD-BENCH-UTILIZATION","benchmark","not_found","REQ-R1-GA100-BENCH-UTIL","register_not_found_after_search_log","Vendor relative speedups and product occupancy limits are not utilization measurements with complete conditions."
"FIELD-CAP-IMPLEMENTATION-DETAIL","special_capabilities","value","FACT-M2NA-AMPERE-SPARSE-DETAIL|FACT-R1-GA100-AMPERE-REDUCE-DETAIL|FACT-R1-GA100-OFA-DETAIL|FACT-R1-GA100-VIDEO-DETAIL|REQ-M2NA-AVAIL-0018|REQ-R1-GA100-AMPERE-REDUCE-DETAIL|REQ-R1-GA100-OFA-DETAIL|REQ-R1-GA100-VIDEO-DETAIL|REQ-R1-GA100-CAP-GAP-ATTENTION-MOVE|REQ-R1-GA100-CAP-GAP-SOFTMAX|REQ-R1-GA100-CAP-GAP-TOPK|REQ-R1-GA100-CAP-GAP-MOE-ROUTE|REQ-R1-GA100-CAP-GAP-MOE-DISPATCH|REQ-R1-GA100-CAP-GAP-COLLECTIVE|REQ-R1-GA100-CAP-GAP-QUANTIZE|REQ-R1-GA100-CAP-GAP-DEQUANTIZE|REQ-R1-GA100-CAP-GAP-TRANSPOSE|REQ-R1-GA100-CAP-GAP-COMPRESSION|REQ-R1-GA100-CAP-GAP-KV-CACHE","accept_direct|reuse_via_architecture","Whitepaper p.56 uses GA100 as the subject. | These mechanisms remain owned by the Ampere architecture or capability entities after formal repair."
"FIELD-CAP-IMPLEMENTATION-LEVEL","special_capabilities","value","FACT-M2NA-AMPERE-SPARSE-LEVEL|FACT-R1-GA100-AMPERE-REDUCE-LEVEL|FACT-R1-GA100-OFA-LEVEL|FACT-R1-GA100-VIDEO-LEVEL|REQ-M2NA-AVAIL-0017|REQ-M2NA-GAP-0163|REQ-M2NA-GAP-0164|REQ-R1-GA100-AMPERE-REDUCE-LEVEL|REQ-R1-GA100-OFA-LEVEL|REQ-R1-GA100-VIDEO-LEVEL","accept_direct|reuse_via_architecture","The source explicitly names a GA100 hardware accelerator. | Do not duplicate the implementation level on the die object or infer physical engine count."
"FIELD-CAP-LIMITATION","special_capabilities","not_found","FACT-R1-GA100-AMPERE-REDUCE-LIMIT|REQ-R1-GA100-AMPERE-REDUCE-LIMIT","register_not_found_after_search_log","General CUDA, warp reduction, NVLink or L2 control does not prove a dedicated LLM mechanism."
"FIELD-CAP-THROUGHPUT","special_capabilities","not_found","REQ-R1-GA100-OFA-THROUGHPUT","register_not_found_after_search_log","A100 NVJPG/NVDEC product benchmarks use frequency, image-size, format and compression conditions and cannot fill this GA100 capability."
