"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"CARD-R1-GA100-IDENTITY","OBJ-NVIDIA-GA100-DIE","identity","partial","2026-08-21","r1_ga100_atomic_staging","draft","Name, family, type, vendor, and architecture relation are staged. Status, availability, release, positioning, and administrative cutoff remain unresolved."
"CARD-R1-GA100-PHYSICAL","OBJ-NVIDIA-GA100-DIE","physical","partial","2026-08-21","r1_ga100_atomic_staging","draft","Foundry, process, area, and transistor count are staged. Die count, clock, power, and HBM-interface total are unresolved. Package-related fields are not applicable."
"CARD-R1-GA100-COMPUTE","OBJ-NVIDIA-GA100-DIE","compute","partial","2026-08-21","r1_ga100_atomic_staging","draft","Full-design component counts, SM structure, and one per-SM dense FP16 FMA path are staged. Array shape and many implementation limits remain gaps."
"CARD-R1-GA100-NUMERICS","OBJ-NVIDIA-GA100-DIE","numerics","partial","2026-08-21","r1_ga100_atomic_staging","draft","Ampere precision-path repair, datatype-specific sparse patterns, and TF32 output are staged through the architecture relation."
"CARD-R1-GA100-MEMORY","OBJ-NVIDIA-GA100-DIE","memory","partial","2026-08-21","r1_ga100_atomic_staging","draft","Per-SM 256 KiB register-file capacity, four register-file groups, 192 KiB combined L1 data cache or shared-memory capacity, and the L2 entity are staged. L2 capacity, read or write bandwidth, latency in seconds, and full-die aggregates remain unresolved."
"CARD-R1-GA100-INTERCONNECT","OBJ-NVIDIA-GA100-DIE","interconnect","partial","2026-08-21","r1_ga100_atomic_staging","draft","Ampere NVLink 3 protocol remains reusable. Full-GA100 link count and aggregate bandwidth remain pending and no GA100 link entity is invented."
"CARD-R1-GA100-SPECIAL-ENGINES","OBJ-NVIDIA-GA100-DIE","special_engines","partial","2026-08-21","r1_ga100_atomic_staging","draft","OFA, video decode, sparse MMA, async copy, and warp reduction are covered. Each other template mechanism has its own evidence target and gap."
"CARD-R1-GA100-SOFTWARE","OBJ-NVIDIA-GA100-DIE","software","partial","2026-08-21","r1_ga100_atomic_staging","draft","CUDA 11.0 and PTX 7.x target documentation is staged. Product MIG behavior and CUDA Graph claims remain conditional or excluded."
"CARD-R1-GA100-EVIDENCE","OBJ-NVIDIA-GA100-DIE","evidence","partial","2026-08-21","r1_ga100_atomic_staging","draft","Fixed sources, assertions, screenings, roles, endpoints, and a provisional selection run are staged. Stable payload copies and formal hard gates remain outstanding."
"CARD-R1-GA100-SCHEDULING","OBJ-NVIDIA-GA100-DIE","scheduling","partial","2026-08-21","r1_ga100_atomic_staging","draft","Ampere split barriers and warp reduction are covered. Product CUDA Graph and MIG scheduling behavior are not promoted to full-GA100 facts."
"CARD-R1-GA100-RELIABILITY","OBJ-NVIDIA-GA100-DIE","reliability","partial","2026-08-21","r1_ga100_atomic_staging","draft","GA100 DPO, row remapping, containment, detection, and recovery are staged with driver, HBM, application, and reset conditions."
"CARD-R1-GA100-BENCHMARK","OBJ-NVIDIA-GA100-DIE","benchmark","missing_public_data","2026-08-21","r1_ga100_atomic_staging","draft","A100 microbenchmark cycles and random-access observations lack a formal product subject and complete conditions. They are not GA100 facts."
"CARD-R1-GA100-ECONOMICS","OBJ-NVIDIA-GA100-DIE","economics","not_applicable","2026-08-21","r1_ga100_atomic_staging","draft","The frozen bare-die subject has no separate public price."
