"claim","disposition","reason"
"A100 memory instruction and cache latency cycles","conditional_gap","FIELD-MEM-LATENCY uses seconds. Cycle values cannot be normalized without a complete clock domain and product subject."
"A100 random-access 1400 or 1600 GB/s","excluded_from_facts","Product measurement lacks a formal A100 subject and complete software, clock, power, and statistic conditions."
"Approximately 64 GB random-access cliff and 14 groups","excluded_from_facts","A100 SXM4 80GB workload observation, not a full-GA100 physical constant."
"HPEC Table III GB/s values","rejected_claim","Reported unit conflicts with apparent compute magnitudes. No silent TFLOPS or TOPS correction is accepted."
"A100 MIG profiles and maximum instances","excluded_from_facts","Product, profile, driver, and guide-version conditions do not define a full-die constant."
"A100 CUDA Graph dependency tracking and launch optimization","conditional_lead","Product-conditioned software behavior does not complete general hardware scheduling coverage."
"A100 5 NVDEC and decode throughput at 1410 MHz","excluded_from_facts","Count and throughput are product-conditioned. Only Table 7 GA100 hardware format support is accepted."
"A100 5-core NVJPG","pending_product_scope","Whitepaper subject is A100. No direct full-GA100 count is staged."
"GA100 link count","pending","Diagram-derived or implementation-bound link counts are not staged as an atomic full-die fact."
"GA100 die count equals one","pending","Object type and die photo do not provide a direct atomic count statement."
"FIELD-ID-STATUS historical_anchor","pending_contract_gap","Frozen-list scope metadata is not a product-status fact."
"FIELD-ID-DATA-CUTOFF 2026-08-21","pending_contract_gap","Administrative metadata lacks a contract-compliant fact evidence chain."

