"target_table","operation","primary_key","rationale","dependency_group","risk_level","fragment_file"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/cuda-c-programming-guide-11.0.pdf","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/concepts.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/deployment-considerations.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/getting-started-with-mig.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/introduction.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/supported-configurations.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/supported-gpus.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/supported-mig-profiles.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/versions1.json","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/virtualization.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/nvidia-gpu-mem-error-mgmt-DA-09826-002_v001.pdf","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ptx-isa-7.0.pdf","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ptx-isa-7.2.pdf","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-contained-uce-response.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-dynamic-page-offlining.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-error-containment.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-gpu-memory-repair.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-row-remapping.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-supported-gpus.html","Copy the fixed staged payload to the stable formal snapshot path and verify sha256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"最小参考资料库/source-families.csv","insert","SFAM-NVIDIA-A100-IEEE-MICRO-2021","Register one work-level family before its content versions.","02_source_registry","medium","source-families.csv"
"最小参考资料库/source-families.csv","insert","SFAM-NVIDIA-A100-ISSCC-2021","Register one work-level family before its content versions.","02_source_registry","medium","source-families.csv"
"最小参考资料库/source-families.csv","insert","SFAM-NVIDIA-A100-RANDOM-ACCESS-2024","Register one work-level family before its content versions.","02_source_registry","medium","source-families.csv"
"最小参考资料库/source-families.csv","insert","SFAM-NVIDIA-AMPERE-MICROBENCH-2022","Register one work-level family before its content versions.","02_source_registry","medium","source-families.csv"
