"source_selected_role_id","source_id","selected_role","rationale","review_status","notes"
"SROLE-GROQ-ISCA2020-ARCH","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","执行组织、存储与 C2C","draft",""
"SROLE-GROQ-ISCA2020-SPEC","SRC-GROQ-TSP-ISCA2020","core_spec","首代实现定值","draft",""
"SROLE-GROQ-BRIEF-V17-SPEC","SRC-GROQ-GROQCHIP-BRIEF-V1-7","core_spec","v1.7 修订规格","draft",""
"SROLE-NVG3-ARCHBLOG-ARCH","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","Groq 3 执行和显式数据流","draft",""
"SROLE-NVG3-ARCHBLOG-SPEC","SRC-NVG3-ARCH-BLOG-2026-03-16","core_spec","每 LPU SRAM/C2C 规格","draft",""
"SROLE-NVG3-C2CBLOG-ARCH","SRC-NVG3-C2C-BLOG-2026-05-14","architecture_mechanism","跨 LPU C2C 协议与路由","draft",""
"SROLE-HUAWEI-HC31-ARCH","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","architecture_mechanism","首代组件和存储层级","draft",""
"SROLE-HUAWEI-HPCA2021-ARCH","SRC-HUAWEI-ASCEND-HPCA2021","architecture_mechanism","共享核心机制和数值路径","draft",""
"SROLE-HUAWEI-HPCA2021-SPEC","SRC-HUAWEI-ASCEND-HPCA2021","core_spec","按配置的核心吞吐和带宽","draft",""
"SROLE-CAMBRICON-MLU370-ID","SRC-CAMBRICON-MLU370-PRODUCT-2026-08-12","identity","MLUarch03 物理命名审计","draft",""
