"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRES-GROQ-LPU1-FP16-PHYSICAL-ACCUM","SEARCH-GROQ-LPU1-FP16-PHYSICAL-ACCUM","SRC-GROQ-TSP-ISCA2020","checked_no_support","draft","本包检索结果"
"SRES-GROQ-LPU1-SCALING","SEARCH-GROQ-LPU1-SCALING","SRC-GROQ-TSP-ISCA2020","checked_no_support","draft","本包检索结果"
"SRES-GROQ-LPU1-SUBNORMAL","SEARCH-GROQ-LPU1-SUBNORMAL","SRC-GROQ-TSP-ISCA2020","checked_no_support","draft","本包检索结果"
"SRES-GROQ-LPU1-TOPOLOGY","SEARCH-GROQ-LPU1-TOPOLOGY","SRC-GROQ-TSP-ISCA2022","inaccessible","draft","本包检索结果"
"SRES-GROQ-LPU1-MOE-ROUTE","SEARCH-GROQ-LPU1-MOE-ROUTE","SRC-GROQ-TSP-ISCA2020","checked_no_support","draft","本包检索结果"
"SRES-GROQ-LPU1-TOPK","SEARCH-GROQ-LPU1-TOPK","SRC-GROQ-TSP-ISCA2020","checked_no_support","draft","本包检索结果"
"SRES-NVG3-MXM-EXACT-FORMATS","SEARCH-NVG3-MXM-EXACT-FORMATS","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-MXM-ACCUM","SEARCH-NVG3-MXM-ACCUM","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-MXM-PHYSICAL-ACCUM","SEARCH-NVG3-MXM-PHYSICAL-ACCUM","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-VXM-FORMATS","SEARCH-NVG3-VXM-FORMATS","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-ROUNDING","SEARCH-NVG3-ROUNDING","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-SCALING","SEARCH-NVG3-SCALING","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-TOPOLOGY-CLASS","SEARCH-NVG3-TOPOLOGY-CLASS","SRC-NVG3-C2C-BLOG-2026-05-14","candidate","draft","本包检索结果"
"SRES-NVG3-MOE-ROUTE","SEARCH-NVG3-MOE-ROUTE","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-NVG3-TOPK","SEARCH-NVG3-TOPK","SRC-NVG3-ARCH-BLOG-2026-03-16","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-PHYSICAL-ACCUM","SEARCH-HUAWEI-DV-PHYSICAL-ACCUM","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-ROUNDING","SEARCH-HUAWEI-DV-ROUNDING","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-SCALING","SEARCH-HUAWEI-DV-SCALING","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-SATURATION","SEARCH-HUAWEI-DV-SATURATION","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-SUBNORMAL","SEARCH-HUAWEI-DV-SUBNORMAL","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-INT8-OUTPUT","SEARCH-HUAWEI-DV-INT8-OUTPUT","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-SCALAR-THROUGHPUT","SEARCH-HUAWEI-DV-SCALAR-THROUGHPUT","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-VECTOR-THROUGHPUT","SEARCH-HUAWEI-DV-VECTOR-THROUGHPUT","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-MOE-ROUTE","SEARCH-HUAWEI-DV-MOE-ROUTE","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-HUAWEI-DV-TOPK","SEARCH-HUAWEI-DV-TOPK","SRC-HUAWEI-ASCEND-HPCA2021","checked_no_support","draft","本包检索结果"
"SRES-CAMBRICON-MLUARCH05-EXECUTION","SEARCH-CAMBRICON-MLUARCH05-EXECUTION","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","本包检索结果"
