"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-GROQ-LPU1-MOE-ROUTE","OBJ-GROQ-LPU1-ARCH","","moe_route","第一代 LPU 专用 MoE routing","needs_resolution","未在计划检索的一手资料中找到"
"CAP-GROQ-LPU1-TOPK","OBJ-GROQ-LPU1-ARCH","","top_k","第一代 LPU 专用 Top-K","needs_resolution","未在计划检索的一手资料中找到"
"CAP-NVG3-MOE-ROUTE","OBJ-NVIDIA-GROQ3-ARCH","","moe_route","Groq 3 专用 MoE routing","needs_resolution","系统把 MoE expert 计算分配给 LPX 不等于芯片有 routing 模块"
"CAP-NVG3-TOPK","OBJ-NVIDIA-GROQ3-ARCH","","top_k","Groq 3 专用 Top-K","needs_resolution","未找到专用模块证据"
"CAP-HUAWEI-DV-MTE-DECOMP","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-MTE","decompression","MTE zero decompression","draft","原始论文明确列出"
"CAP-HUAWEI-DV-MTE-RESHAPE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-MTE","other","MTE img2col/transpose","draft","原始论文明确列出"
"CAP-HUAWEI-DV-MOE-ROUTE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","moe_route","Da Vinci 初代专用 MoE routing","needs_resolution","原始论文未找到"
"CAP-HUAWEI-DV-TOPK","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","top_k","Da Vinci 初代专用 Top-K","needs_resolution","原始论文未找到"
"CAP-CAMBRICON-MLUARCH05-MOE-ROUTE","OBJ-CAMBRICON-MLU590-ARCH","","moe_route","MLUarch05 专用 MoE routing","needs_resolution","可访问证据未找到；CNToolkit 正文受限"
"CAP-CAMBRICON-MLUARCH05-TOPK","OBJ-CAMBRICON-MLU590-ARCH","","top_k","MLUarch05 专用 Top-K","needs_resolution","可访问证据未找到；CNToolkit 正文受限"
