"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"CC-CAMBRICON-MLU590-ARCH-IDENTITY","OBJ-CAMBRICON-MLU590-ARCH","identity","complete","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-PHYSICAL","OBJ-CAMBRICON-MLU590-ARCH","physical","not_applicable","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-COMPUTE","OBJ-CAMBRICON-MLU590-ARCH","compute","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-NUMERICS","OBJ-CAMBRICON-MLU590-ARCH","numerics","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-MEMORY","OBJ-CAMBRICON-MLU590-ARCH","memory","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-INTERCONNECT","OBJ-CAMBRICON-MLU590-ARCH","interconnect","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-SPECIAL_ENGINES","OBJ-CAMBRICON-MLU590-ARCH","special_engines","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-SOFTWARE","OBJ-CAMBRICON-MLU590-ARCH","software","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-CAMBRICON-MLU590-ARCH-EVIDENCE","OBJ-CAMBRICON-MLU590-ARCH","evidence","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-IDENTITY","OBJ-GROQ-LPU1-ARCH","identity","complete","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-PHYSICAL","OBJ-GROQ-LPU1-ARCH","physical","not_applicable","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-COMPUTE","OBJ-GROQ-LPU1-ARCH","compute","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-NUMERICS","OBJ-GROQ-LPU1-ARCH","numerics","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-MEMORY","OBJ-GROQ-LPU1-ARCH","memory","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-INTERCONNECT","OBJ-GROQ-LPU1-ARCH","interconnect","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-SPECIAL_ENGINES","OBJ-GROQ-LPU1-ARCH","special_engines","missing_public_data","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-SOFTWARE","OBJ-GROQ-LPU1-ARCH","software","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-GROQ-LPU1-ARCH-EVIDENCE","OBJ-GROQ-LPU1-ARCH","evidence","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-IDENTITY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","identity","complete","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-PHYSICAL","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","physical","not_applicable","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-COMPUTE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","compute","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-NUMERICS","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","numerics","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-MEMORY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","memory","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-INTERCONNECT","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","interconnect","not_applicable","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-SPECIAL_ENGINES","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","special_engines","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-SOFTWARE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","software","partial","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-HUAWEI-DA-VINCI-INITIAL-ARCH-EVIDENCE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","evidence","complete","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-NVIDIA-GROQ3-ARCH-IDENTITY","OBJ-NVIDIA-GROQ3-ARCH","identity","complete","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
"CC-NVIDIA-GROQ3-ARCH-PHYSICAL","OBJ-NVIDIA-GROQ3-ARCH","physical","not_applicable","2026-08-12","M2-GHC-ARCH","draft","architecture_generation 口径；具体实现规格不计入代际卡完整度"
