"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T08:30:56.3135926Z","precommit","lock_acquired","","8c2bdaa206aaf38ed1590f5589a85c47d29f119aec921fe3ca502785a5a2ae1a","X:\independent-package\scripts\ASCEND950-FORMAL-TRANSACTION-LOCK-a58a6581fe359d9f.lock"
"2","2026-08-13T08:31:19.6655323Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6"
"3","2026-08-13T08:31:19.6891348Z","commit_complete","csv_replace","数据/card-completeness.csv","3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6","commit_index=1"
"4","2026-08-13T08:31:19.6945631Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648"
"5","2026-08-13T08:31:19.7237625Z","commit_complete","csv_replace","数据/components.csv","d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648","commit_index=2"
"6","2026-08-13T08:31:19.7279999Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08"
"7","2026-08-13T08:31:19.7531242Z","commit_complete","csv_replace","数据/condition-sets.csv","445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08","commit_index=3"
"8","2026-08-13T08:31:19.7582671Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=cc8ced05dcf8058a26a34a9e18a6e4aa82753e8fce13303e167a3c5370760bc4"
"9","2026-08-13T08:31:19.7845888Z","commit_complete","csv_replace","数据/facts.csv","cc8ced05dcf8058a26a34a9e18a6e4aa82753e8fce13303e167a3c5370760bc4","commit_index=4"
"10","2026-08-13T08:31:19.7888269Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=5c9acf64b111c2fc1fe353d4a27def3b224f91bbf4d3a17cab5a3ec6d705ef66"
"11","2026-08-13T08:31:19.8180607Z","commit_complete","csv_replace","数据/field-requirements.csv","5c9acf64b111c2fc1fe353d4a27def3b224f91bbf4d3a17cab5a3ec6d705ef66","commit_index=5"
"12","2026-08-13T08:31:19.8229818Z","commit_begin","csv_replace","数据/links.csv","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","registered_before_move;candidate=dd0debe263bea2931acb64e14346e336521d00e8505ccb86b4de1320c43d18eb"
"13","2026-08-13T08:31:19.8497168Z","commit_complete","csv_replace","数据/links.csv","dd0debe263bea2931acb64e14346e336521d00e8505ccb86b4de1320c43d18eb","commit_index=6"
"14","2026-08-13T08:31:19.8543226Z","commit_begin","csv_replace","数据/memory-levels.csv","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","registered_before_move;candidate=c8c0873b297f56bdf02fa97aca775b637108529a8424970a8f3b279c78409745"
"15","2026-08-13T08:31:19.8828861Z","commit_complete","csv_replace","数据/memory-levels.csv","c8c0873b297f56bdf02fa97aca775b637108529a8424970a8f3b279c78409745","commit_index=7"
