"conflict_member_id","conflict_group_id","fact_id","member_role","review_status","notes"
"CG-AWS-TRN2-003-TRN2U-48XL-FP8-M01","CG-AWS-TRN2-003-TRN2U-48XL-FP8","FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-FP8-M02","CG-AWS-TRN2-003-TRN2U-48XL-FP8","FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-CHIP-BF16-M01","CG-AWS-TRN2-003-CHIP-BF16","FACT-AWS-TRN2-CHIP-BF16-SPARSE-PUB","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-CHIP-BF16-M03","CG-AWS-TRN2-003-CHIP-BF16","FACT-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-48XL-BF16-M01","CG-AWS-TRN2-003-48XL-BF16","FACT-AWS-TRN2-48XL-BF16-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-48XL-BF16-M02","CG-AWS-TRN2-003-48XL-BF16","FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-BF16-M01","CG-AWS-TRN2-003-TRN2U-48XL-BF16","FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-BF16-M02","CG-AWS-TRN2-003-TRN2U-48XL-BF16","FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-CHIP-FP16-M01","CG-AWS-TRN2-003-CHIP-FP16","FACT-AWS-TRN2-CHIP-FP16-SPARSE-PUB","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-CHIP-FP16-M03","CG-AWS-TRN2-003-CHIP-FP16","FACT-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-48XL-FP16-M01","CG-AWS-TRN2-003-48XL-FP16","FACT-AWS-TRN2-48XL-FP16-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-48XL-FP16-M02","CG-AWS-TRN2-003-48XL-FP16","FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-FP16-M01","CG-AWS-TRN2-003-TRN2U-48XL-FP16","FACT-AWS-TRN2-TRN2U-48XL-FP16-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-FP16-M02","CG-AWS-TRN2-003-TRN2U-48XL-FP16","FACT-AWS-TRN2-TRN2U-48XL-FP16-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-CHIP-TF32-M01","CG-AWS-TRN2-003-CHIP-TF32","FACT-AWS-TRN2-CHIP-TF32-SPARSE-PUB","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-CHIP-TF32-M03","CG-AWS-TRN2-003-CHIP-TF32","FACT-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-48XL-TF32-M01","CG-AWS-TRN2-003-48XL-TF32","FACT-AWS-TRN2-48XL-TF32-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-48XL-TF32-M02","CG-AWS-TRN2-003-48XL-TF32","FACT-AWS-TRN2-48XL-TF32-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-TF32-M01","CG-AWS-TRN2-003-TRN2U-48XL-TF32","FACT-AWS-TRN2-TRN2U-48XL-TF32-SPARSE","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-003-TRN2U-48XL-TF32-M02","CG-AWS-TRN2-003-TRN2U-48XL-TF32","FACT-AWS-TRN2-TRN2U-48XL-TF32-SPARSE-HIST2024","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-005-ULTRA-EFA-M01","CG-AWS-TRN2-005-ULTRA-EFA","FACT-AWS-TRN2-ULTRA64-EFA-3P2","candidate","needs_resolution","各候选并列保留"
"CG-AWS-TRN2-005-ULTRA-EFA-M02","CG-AWS-TRN2-005-ULTRA-EFA","FACT-AWS-TRN2-ULTRA64-EFA-12P8","candidate","needs_resolution","各候选并列保留"
