"requirement_evidence_id","requirement_id","source_id","evidence_relation","source_locator","quoted_context","reviewer","review_date","review_status","notes"
"REVID-CAMBRICON-MLU590-ALIAS","REQ-CAMBRICON-MLU590-ALIAS","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-ONCHIP-CAPACITY","REQ-CAMBRICON-MLU590-ONCHIP-CAPACITY","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-TOPK-SOFTWARE","REQ-CAMBRICON-MLU590-TOPK-SOFTWARE","SRC-CAMBRICON-CNNL-1-23-2-RELEASE-NOTES","supports_inaccessible","Registered official CNNL 1.23.2 URL; direct access attempts on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-OPERATOR-LIBRARY","REQ-CAMBRICON-MLU590-OPERATOR-LIBRARY","SRC-CAMBRICON-CNNL-1-23-2-RELEASE-NOTES","supports_inaccessible","Registered official CNNL 1.23.2 URL; direct access attempts on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-COMPILER","REQ-CAMBRICON-MLU590-COMPILER","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-H8-NAME","REQ-CAMBRICON-MLU590-H8-NAME","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-H8-OBJECT-TYPE","REQ-CAMBRICON-MLU590-H8-OBJECT-TYPE","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-M9-NAME","REQ-CAMBRICON-MLU590-M9-NAME","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-M9-OBJECT-TYPE","REQ-CAMBRICON-MLU590-M9-OBJECT-TYPE","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","Registered official CNToolkit 3.8.4 URL; latest direct attempt on 2026-08-12 returned remote HTTP 401","","mlu590_remediation","2026-08-12","draft","This row records source existence and access status only. Search-index snippets are not treated as the source body."
"REVID-CAMBRICON-MLU590-STATUS-CURRENT","REQ-CAMBRICON-MLU590-STATUS-CURRENT","SRC-2022-CAMBRICON-WAIC-MLU590","supports_pending","Page dated 2022-09-02; paragraph beginning 在演讲的最后","在研","mlu590_remediation","2026-08-12","draft","The page supports only the 2022 historical state, not current availability."
