"signoff_row_id","authorization_scope","target_path","target_absent_now","source_path","source_sha256","signed_source_sha256","expected_output_sha256","source_bytes","expected_output_bytes","utf8_valid","utf8_bom","crlf_count","bare_lf_count","bare_cr_count","final_crlf"
"AWS-SIGN-0464","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-latest-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A01-inferentia-latest-2026-08-13.html","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","233120","233120","true","false","0","2214","0","false"
"AWS-SIGN-0465","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-v2.31.0-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A01-inferentia-v2.31.0-2026-08-13.html","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","215997","215997","true","false","0","2090","0","false"
"AWS-SIGN-0466","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A02-neuroncore-v1-v2.9.1-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A02-neuroncore-v1-v2.9.1-2026-08-13.html","06d7b61ef030db81956e2f814c5266138bd317e3354951e2a2071601cdd745cd","06d7b61ef030db81956e2f814c5266138bd317e3354951e2a2071601cdd745cd","06d7b61ef030db81956e2f814c5266138bd317e3354951e2a2071601cdd745cd","62202","62202","true","false","0","1809","0","false"
"AWS-SIGN-0467","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A03-trainium-v2.26.1-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A03-trainium-v2.26.1-2026-08-13.html","6257908ff6d5febd52f974340d35e2f5dcfe2c1c14b9c4132dcb3dc3124c7079","6257908ff6d5febd52f974340d35e2f5dcfe2c1c14b9c4132dcb3dc3124c7079","6257908ff6d5febd52f974340d35e2f5dcfe2c1c14b9c4132dcb3dc3124c7079","166258","166258","true","false","0","1695","0","false"
"AWS-SIGN-0468","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A04-inferentia2-v2.29.1-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A04-inferentia2-v2.29.1-2026-08-13.html","cc1c79f5255f6cc851dab448098adc54fea713a626c205bba4a5a2b5ef2372dd","cc1c79f5255f6cc851dab448098adc54fea713a626c205bba4a5a2b5ef2372dd","cc1c79f5255f6cc851dab448098adc54fea713a626c205bba4a5a2b5ef2372dd","203185","203185","true","false","0","2008","0","false"
"AWS-SIGN-0469","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A05-trainium-inferentia2-nki-v2.29.1-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A05-trainium-inferentia2-nki-v2.29.1-2026-08-13.html","4d2318ec97548a8cb970ec06fb0c2f167a97aa17e361bb89563d057cb36b50cf","4d2318ec97548a8cb970ec06fb0c2f167a97aa17e361bb89563d057cb36b50cf","4d2318ec97548a8cb970ec06fb0c2f167a97aa17e361bb89563d057cb36b50cf","292064","292064","true","false","0","2755","0","false"
"AWS-SIGN-0470","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A06-trainium3-v2.28.1-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A06-trainium3-v2.28.1-2026-08-13.html","2fad4aca914e1a10289f636a273464d5f5f86ad6c5cc830092dfabb0bf786dcb","2fad4aca914e1a10289f636a273464d5f5f86ad6c5cc830092dfabb0bf786dcb","2fad4aca914e1a10289f636a273464d5f5f86ad6c5cc830092dfabb0bf786dcb","206604","206604","true","false","0","2147","0","false"
"AWS-SIGN-0471","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-latest-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A07-trainium3-nki-latest-2026-08-13.html","aa22cfcffd97e35e1d1c17a14480a1f5ace87f2adf7b5f46e26ba512d0ef209f","aa22cfcffd97e35e1d1c17a14480a1f5ace87f2adf7b5f46e26ba512d0ef209f","aa22cfcffd97e35e1d1c17a14480a1f5ace87f2adf7b5f46e26ba512d0ef209f","268399","268399","true","false","0","2466","0","false"
"AWS-SIGN-0472","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-v2.31.0-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A07-trainium3-nki-v2.31.0-2026-08-13.html","4bb6e756d37069f83f36fca4144e494688a23396728b52338385a4ee8be6a2f2","4bb6e756d37069f83f36fca4144e494688a23396728b52338385a4ee8be6a2f2","4bb6e756d37069f83f36fca4144e494688a23396728b52338385a4ee8be6a2f2","251687","251687","true","false","0","2342","0","false"
"AWS-SIGN-0473","exact_file_copy","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A08-trn3-ultraservers-2025-12-02-fetched-2026-08-13.html","true","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A08-trn3-ultraservers-2025-12-02-fetched-2026-08-13.html","d10e887199750363ffb679347c78d27012a2d63c2cc2bf2a49704d16aee449cb","d10e887199750363ffb679347c78d27012a2d63c2cc2bf2a49704d16aee449cb","d10e887199750363ffb679347c78d27012a2d63c2cc2bf2a49704d16aee449cb","329595","329595","true","false","0","2311","0","false"
