"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024","CFP-COND-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024","PP-AWS-TRN2-CHIP-TENSOR-BF16","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_object","2024-12-03","draft","S10 2024-12-03 历史发布博客稀疏口径"
"COND-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024","CFP-COND-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024","PP-AWS-TRN2-CHIP-TENSOR-FP16","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_object","2024-12-03","draft","S10 2024-12-03 历史发布博客稀疏口径"
"COND-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024","CFP-COND-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024","PP-AWS-TRN2-CHIP-TENSOR-TF32","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_object","2024-12-03","draft","S10 2024-12-03 历史发布博客稀疏口径"
"COND-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","CFP-COND-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","PP-AWS-TRN2-48XL-BF16","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-48XL-FP16-SPARSE-HIST2024","CFP-COND-AWS-TRN2-48XL-FP16-SPARSE-HIST2024","PP-AWS-TRN2-48XL-FP16","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-48XL-TF32-SPARSE-HIST2024","CFP-COND-AWS-TRN2-48XL-TF32-SPARSE-HIST2024","PP-AWS-TRN2-48XL-TF32","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024","CFP-COND-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024","PP-AWS-TRN2U-48XL-FP8","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024","CFP-COND-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024","PP-AWS-TRN2U-48XL-BF16","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-TRN2U-48XL-FP16-SPARSE-HIST2024","CFP-COND-AWS-TRN2-TRN2U-48XL-FP16-SPARSE-HIST2024","PP-AWS-TRN2U-48XL-FP16","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-TRN2U-48XL-TF32-SPARSE-HIST2024","CFP-COND-AWS-TRN2-TRN2U-48XL-TF32-SPARSE-HIST2024","PP-AWS-TRN2U-48XL-TF32","structured_sparse","M:N vendor-supported modes","matrix_multiply","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","","","","","per_instance","2024-12-03","draft","S10 历史实例稀疏峰值"
"COND-AWS-TRN2-BW-SYSTEM-SCOPE-UNRESOLVED","CFP-COND-AWS-TRN2-BW-SYSTEM-SCOPE-UNRESOLVED","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_peak_published","","","","Neuron docs 2.29.1","","direction_not_specified","not_specified","vendor_nameplate","per_system","","draft","UltraServer EFA 报告值；聚合范围未由 S6 说明"
