"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2W3-AMD-MI455X-VENDOR-PRODUCT","FACT-M2W3-AMD-MI455X-VENDOR","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","identity","direct_statement","supports","AMD","","","HTML title and page publisher","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-VENDOR|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|supports|HTML title and page publisher","draft",""
"ASSERT-M2W3-AMD-MI455X-FAMILY-PRODUCT","FACT-M2W3-AMD-MI455X-FAMILY","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","identity","direct_statement","supports","AMD Instinct","","","HTML title: AMD Instinct™ MI455X GPUs","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-FAMILY|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|supports|HTML title: AMD Instinct™ MI455X GPUs","draft",""
"ASSERT-M2W3-AMD-MI455X-NAME-PRODUCT","FACT-M2W3-AMD-MI455X-NAME","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","identity","direct_statement","supports","AMD Instinct™ MI455X GPUs","","","HTML title and H1","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-NAME|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|supports|HTML title and H1","draft","Normalized to singular product label."
"ASSERT-M2W3-AMD-MI455X-SKU-PRODUCT","FACT-M2W3-AMD-MI455X-SKU","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","identity","direct_statement","supports","MI455X","","","HTML title and product heading","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-SKU|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|supports|HTML title and product heading","draft",""
"ASSERT-M2W3-AMD-MI455X-OBJECT-TYPE-BROCHURE","FACT-M2W3-AMD-MI455X-OBJECT-TYPE","SRC-M2W3-AMD-MI455X-BROCHURE-202607","identity","direct_statement","qualifies","EAM Module","","","p. 1, Specifications, Form Factor","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-OBJECT-TYPE|SRC-M2W3-AMD-MI455X-BROCHURE-202607|qualifies|p. 1, Specifications, Form Factor","draft","Project object_type normalizes the marketed EAM module to module."
"ASSERT-M2W3-AMD-MI455X-RELEASE-DATE-PRODUCT","FACT-M2W3-AMD-MI455X-RELEASE-DATE","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","status_version","direct_statement","supports","7/23/2026","","","HTML, Launch Date","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-RELEASE-DATE|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|supports|HTML, Launch Date","draft","Launch date is not availability evidence."
"ASSERT-M2W3-AMD-MI455X-STATUS-PRODUCT","FACT-M2W3-AMD-MI455X-STATUS","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","status_version","direct_statement","qualifies","AMD Instinct™ MI455X GPUs; Launch Date 7/23/2026","","","HTML title; Board Specifications, Launch Date","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-STATUS|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|qualifies|HTML title; Board Specifications, Launch Date","draft","This supports the controlled status announced at cutoff; it does not establish shipment, production_ramp or availability."
"ASSERT-M2W3-AMD-MI455X-PROCESS-PRODUCT","FACT-M2W3-AMD-MI455X-PROCESS","SRC-M2W3-AMD-MI455X-PRODUCT-20260813","core_spec","direct_statement","supports","TSMC 2nm | 3nm FinFET","","","HTML, GPU Specifications, Lithography","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-PROCESS|SRC-M2W3-AMD-MI455X-PRODUCT-20260813|supports|HTML, GPU Specifications, Lithography","draft","The page does not map each node to a named die."
"ASSERT-M2W3-AMD-MI455X-PACKAGE-MI400","FACT-M2W3-AMD-MI455X-PACKAGE","SRC-M2W2-AMD-MI400-LANDING-20260813","core_spec","direct_statement","supports","chiplet architecture with stacked 3D hybrid-bonded compute dies, high-density interconnect, AMD Infinity Fabric, and an advanced CoWoS-L package","","","fixed HTML snapshot, MI455X paragraph beginning “MI455X GPUs feature a chiplet architecture”","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-PACKAGE|SRC-M2W2-AMD-MI400-LANDING-20260813|supports|fixed HTML snapshot, MI455X paragraph beginning “MI455X GPUs feature a chiplet architecture”","draft","Exact single-MI455X sentence; adjacent Helios rack content excluded."
"ASSERT-M2W3-AMD-MI455X-XCD-COUNT-BROCHURE","FACT-M2W3-AMD-MI455X-XCD-COUNT","SRC-M2W3-AMD-MI455X-BROCHURE-202607","core_spec","direct_statement","supports","","8","count","p. 1, Specifications, Accelerated Compute Dies (XCD)","","source_checked","m2_w3_mi455x_module","","2026-08-13","FACT-M2W3-AMD-MI455X-XCD-COUNT|SRC-M2W3-AMD-MI455X-BROCHURE-202607|supports|p. 1, Specifications, Accelerated Compute Dies (XCD)","draft",""
