"disposition_id","parent_deferred_id","branch_label","metric","raw_value","source_id","source_locator","target_object_id","target_object_type","action_in_this_package","future_work_package","resolution_state","review_status","notes"
"DISP-M2W2-G-DEF-M2GA-GV5E-01","DEF-M2GA-GV5E-01","complete_cloud_device_item","TensorCore/MXU count","1 TC; 4 MXU","SRC-M2-GA-G08","System architecture","OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV5E-02","DEF-M2GA-GV5E-02","complete_cloud_device_item","BF16/INT8 peak","197 TFLOP/s; 393 TOPS","SRC-M2-GA-G08","System architecture","OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV5E-03","DEF-M2GA-GV5E-03","complete_cloud_device_item","HBM capacity/bandwidth","16 GB; 800 GiB/s","SRC-M2-GA-G08","System architecture","OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV5E-04","DEF-M2GA-GV5E-04","complete_cloud_device_item","ICI ports/bandwidth","4 ports; 400 GB/s bidirectional","SRC-M2-GA-G08","System architecture","OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV5P-06","DEF-M2GA-GV5P-06","complete_cloud_device_item","ICI aggregate bandwidth","1200 GB/s bidirectional","SRC-M2-GA-G09","System architecture","OBJ-GOOGLE-TPU-V5P-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV6E-01","DEF-M2GA-GV6E-01","complete_cloud_device_item","TensorCore/MXU/SparseCore count","1 TC; 2 MXU; 2 SC","SRC-M2-GA-G10|SRC-M2-GA-G15","System architecture; SparseCore table","OBJ-GOOGLE-TPU-V6E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV6E-02","DEF-M2GA-GV6E-02","complete_cloud_device_item","BF16/INT8 peak","918 TFLOP/s; 1836 TOPS","SRC-M2-GA-G10","System architecture","OBJ-GOOGLE-TPU-V6E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV6E-03","DEF-M2GA-GV6E-03","complete_cloud_device_item","HBM capacity/bandwidth","32 GB; 1638 GB/s","SRC-M2-GA-G10","System architecture","OBJ-GOOGLE-TPU-V6E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV6E-04","DEF-M2GA-GV6E-04","complete_cloud_device_item","ICI ports/bandwidth","4 ports; 800 GB/s bidirectional","SRC-M2-GA-G10","System architecture","OBJ-GOOGLE-TPU-V6E-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","本门禁包不写 facts 或资料卡"
"DISP-M2W2-G-DEF-M2GA-GV5P-03-CLOUD-95GIB","DEF-M2GA-GV5P-03","cloud_95_gib","HBM capacity","95 GiB","SRC-M2-GA-G09","cloud product table","OBJ-GOOGLE-TPU-V5P-CLOUD-DEVICE","cloud_accelerator","route_to_future_cloud_device_fact_package","M2-W2-GOOGLE-CLOUD-DEVICE-FACTS","provisional","draft","只保存云端页面原值和作用域；不得推导 1 GiB 预留"
"DISP-M2W2-G-DEF-M2GA-GV5P-01","DEF-M2GA-GV5P-01","complete_physical_package_item","TensorCore/MXU/SparseCore count","2 TC; 8 MXU; 4 SC","SRC-M2-GA-G01","Table 1","","package","defer_to_physical_package_identity_gate","M2-W2-GOOGLE-TPU-V5P-PACKAGE","pending_verification","draft","物理 package 身份与正式对象 ID 尚未冻结"
"DISP-M2W2-G-DEF-M2GA-GV5P-02","DEF-M2GA-GV5P-02","complete_physical_package_item","BF16/FP8 peak","459 TFLOP/s for each published path","SRC-M2-GA-G01","Table 1","","package","defer_to_physical_package_identity_gate","M2-W2-GOOGLE-TPU-V5P-PACKAGE","pending_verification","draft","物理 package 身份与正式对象 ID 尚未冻结"
"DISP-M2W2-G-DEF-M2GA-GV5P-04","DEF-M2GA-GV5P-04","complete_physical_package_item","HBM bandwidth","2765 GB/s","SRC-M2-GA-G01","Table 1","","package","defer_to_physical_package_identity_gate","M2-W2-GOOGLE-TPU-V5P-PACKAGE","pending_verification","draft","物理 package 身份与正式对象 ID 尚未冻结"
