"candidate_id","decision","formal_object_ids","final_vendor_id","final_object_type","scope_role","identity_review","card_action","notes"
"CAND-AWS-EC2-INF1-FAMILY","import_new","OBJ-AWS-INF1-INSTANCE-FAMILY","VEN-AWS","cloud_instance","historical_anchor","reviewed","lightweight_card","家族容器；单一尺寸独有事实不得写到家族。"
"CAND-AWS-EC2-TRN1-2XLARGE","import_new","OBJ-AWS-TRN1-2XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","独立 EC2 instance type。"
"CAND-AWS-EC2-TRN1-32XLARGE","import_new","OBJ-AWS-TRN1-32XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","独立 EC2 instance type。"
"CAND-AWS-EC2-TRN1N-32XLARGE","import_new","OBJ-AWS-TRN1N-32XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","与 trn1.32xlarge 分开保存网络边界。"
"CAND-AWS-EC2-INF2-XLARGE","import_new","OBJ-AWS-INF2-XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","独立 EC2 instance type。"
"CAND-AWS-EC2-INF2-8XLARGE","import_new","OBJ-AWS-INF2-8XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","独立 EC2 instance type。"
"CAND-AWS-EC2-INF2-24XLARGE","import_new","OBJ-AWS-INF2-24XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","独立 EC2 instance type。"
"CAND-AWS-EC2-INF2-48XLARGE","import_new","OBJ-AWS-INF2-48XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","独立 EC2 instance type。"
"CAND-AWS-EC2-TRN2-3XLARGE","reuse_existing","OBJ-AWS-TRN2-3XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","复用 M1 对象。"
"CAND-AWS-EC2-TRN2-48XLARGE","reuse_existing","OBJ-AWS-TRN2-48XLARGE","VEN-AWS","cloud_instance","main_sample","reviewed","full_card","复用 M1 对象。"
"CAND-AWS-EC2-TRN2U-48XLARGE","reuse_existing","OBJ-AWS-TRN2U-48XLARGE","VEN-AWS","cloud_instance","main_sample","needs_resolution","full_card","复用 M1 对象；GA、预览和受限供货时间线待核。"
"CAND-GOOGLE-CT6E-STANDARD-FAMILY","import_new","OBJ-GOOGLE-CT6E-STANDARD-FAMILY","VEN-GOOGLE","cloud_instance","main_sample","reviewed","family_card","TPU VM machine type 家族；1t/4t/8t 先作配置行。"
"CAND-GOOGLE-TPU-V3-CLOUD-SYSTEM","import_new","OBJ-GOOGLE-TPU-V3-POD","VEN-GOOGLE","pod","historical_anchor","reviewed","lightweight_card","系统对象与 TPU v3 架构分开。"
"CAND-GOOGLE-TPU-8T-CLOUD-SYSTEM","import_new_observation","OBJ-GOOGLE-TPU-8T-SUPERPOD","VEN-GOOGLE","pod","observation","needs_resolution","observation_card","只建 announced 系统观察卡，不建云配置。"
"CAND-GOOGLE-TPU-8I-CLOUD-SYSTEM","import_new_observation","OBJ-GOOGLE-TPU-8I-POD","VEN-GOOGLE","pod","observation","needs_resolution","observation_card","只建 announced 系统观察卡，不建云配置。"
"CAND-AWS-TRAINIUM4-NVLINK-FUSION-SYSTEM","defer_candidate","","VEN-AWS","","observation","needs_resolution","no_card","没有独立系统名、实例类型或固定组成；只留候选。"
"CAND-GROQ-ARCH-LPU3","import_new","OBJ-NVIDIA-GROQ3-ARCH","VEN-NVIDIA","architecture_generation","observation","reviewed","observation_card","归 NVIDIA；第一代 Groq 产品仍归 VEN-GROQ。"
"CAND-GROQ-LP30","defer_candidate","","VEN-NVIDIA","","observation","needs_resolution","no_card","裸片、封装或更高层产品名尚未分清。"
"CAND-GROQ-LPX-COMPUTE-TRAY-8","import_new","OBJ-NVIDIA-GROQ3-LPX-TRAY","VEN-NVIDIA","server","observation","reviewed","observation_card","1U 计算托盘按系统对象，不按 baseboard。"
"CAND-GROQ-LPX-RACK-256","import_new","OBJ-NVIDIA-GROQ3-LPX-RACK","VEN-NVIDIA","rack","observation","needs_resolution","observation_card","身份成立，交付状态仍待核。"
"CAND-NVIDIA-A800-DATACENTER","split_before_import","","VEN-NVIDIA","","main_sample","needs_resolution","no_card","按 PCIe 80GB、液冷 PCIe 80GB、SXM4 80GB 等固定物理名拆分。"
"CAND-NVIDIA-A800-40GB-ACTIVE","exclude","","VEN-NVIDIA","card","excluded_lead","reviewed","no_card","独立工作站卡，不属于当前数据中心加速器卡范围。"
"CAND-NVIDIA-H800","split_before_import","","VEN-NVIDIA","","main_sample","needs_resolution","no_card","Hopper 关系已确认；先拆 PCIe、SXM5、NVL 等物理 SKU。"
"CAND-NVIDIA-H20","split_before_import","","VEN-NVIDIA","","main_sample","needs_resolution","no_card","Hopper 关系已确认；先拆 96GB、141GB 等固定 SKU。"
"CAND-NVIDIA-L20","import_new","OBJ-NVIDIA-L20","VEN-NVIDIA","card","main_sample","reviewed","full_card","Ada Lovelace 关系已进入正式关系表。"
